user_number,session_group,trialIndex,tubeTypeIndex,tip_direction,face_id,faceSide,towards_away,raw_angle,angle,latency,valid
1,AT004,0,3,right,ID017,right,towards,8,8,131477,True
1,AT004,1,3,right,ID017,left,away,31,31,15423,True
1,AT004,2,2,left,ID017,right,away,-9,9,8576,True
1,AT004,3,0,right,ID017,right,towards,8,8,12687,True
1,AT004,4,0,left,ID017,left,towards,-10,10,9344,True
1,AT004,5,0,left,ID015,left,towards,-11,11,14623,True
1,AT004,6,1,left,ID017,left,towards,-27,27,14016,True
1,AT004,7,0,right,ID017,left,away,11,11,7344,True
1,AT004,8,0,right,ID015,left,away,15,15,9967,True
1,AT004,9,0,right,ID015,right,towards,17,17,10280,True
1,AT004,10,1,left,ID017,right,away,-28,28,16777,True
1,AT004,11,3,right,ID015,left,away,36,36,15222,True
1,AT004,12,1,right,ID015,left,away,31,31,10112,True
1,AT004,13,0,left,ID017,right,away,-20,20,13079,True
1,AT004,14,2,right,ID015,right,towards,24,24,11917,True
1,AT004,15,1,right,ID017,right,towards,37,37,12641,True
1,AT004,16,2,left,ID015,left,towards,-19,19,9128,True
1,AT004,17,1,right,ID015,right,towards,32,32,11629,True
1,AT004,18,2,left,ID015,right,away,-20,20,9039,True
1,AT004,19,2,right,ID017,right,towards,24,24,8737,True
1,AT004,20,1,left,ID015,left,towards,-37,37,11761,True
1,AT004,21,3,right,ID015,right,towards,39,39,13190,True
1,AT004,22,2,right,ID015,left,away,18,18,10418,True
1,AT004,23,3,left,ID015,right,away,-54,54,10990,False
1,AT004,24,3,left,ID015,left,towards,-53,53,11431,False
1,AT004,25,3,left,ID017,right,away,-47,47,13199,False
1,AT004,26,3,left,ID017,left,towards,-52,52,8983,False
1,AT004,27,0,left,ID015,right,away,-19,19,8431,True
1,AT004,28,2,left,ID017,left,towards,-20,20,9055,True
1,AT004,29,1,left,ID015,right,away,-36,36,10327,True
1,AT004,30,1,right,ID017,left,away,32,32,8744,True
1,AT004,31,2,right,ID017,left,away,17,17,8256,True
2,AT004,0,2,left,ID017,left,towards,-5,5,12942,True
2,AT004,1,1,left,ID017,left,towards,-6,6,5448,True
2,AT004,2,1,left,ID017,right,away,-6,6,7256,True
2,AT004,3,2,left,ID015,right,away,-5,5,6665,True
2,AT004,4,1,right,ID017,right,towards,11,11,6854,True
2,AT004,5,0,left,ID017,left,towards,-8,8,2519,True
2,AT004,6,0,left,ID015,left,towards,-11,11,3449,True
2,AT004,7,3,right,ID015,left,away,-7,-7,3153,True
2,AT004,8,3,left,ID015,right,away,-6,6,2356,True
2,AT004,9,1,right,ID015,right,towards,7,7,2667,True
2,AT004,10,1,right,ID017,left,away,12,12,4763,True
2,AT004,11,1,left,ID015,left,towards,-15,15,2756,True
2,AT004,12,2,right,ID017,left,away,6,6,2612,True
2,AT004,13,0,left,ID017,right,away,-13,13,3185,True
2,AT004,14,3,left,ID015,left,towards,-9,9,2300,True
2,AT004,15,1,right,ID015,left,away,11,11,2495,True
2,AT004,16,3,right,ID017,right,towards,7,7,2187,True
2,AT004,17,3,right,ID015,right,towards,19,19,2742,True
2,AT004,18,2,right,ID015,left,away,8,8,2455,True
2,AT004,19,2,right,ID015,right,towards,12,12,2312,True
2,AT004,20,1,left,ID015,right,away,-10,10,3359,True
2,AT004,21,0,left,ID015,right,away,-13,13,3542,True
2,AT004,22,2,left,ID017,right,away,-14,14,2632,True
2,AT004,23,0,right,ID017,left,away,8,8,2300,True
2,AT004,24,3,left,ID017,right,away,-14,14,3233,True
2,AT004,25,0,right,ID017,right,towards,15,15,3045,True
2,AT004,26,0,right,ID015,right,towards,13,13,2622,True
2,AT004,27,0,right,ID015,left,away,12,12,2922,True
2,AT004,28,2,left,ID015,left,towards,-10,10,4265,True
2,AT004,29,3,left,ID017,left,towards,-15,15,3508,True
2,AT004,30,3,right,ID017,left,away,15,15,3245,True
2,AT004,31,2,right,ID017,right,towards,19,19,2881,True
3,AT004,0,3,right,ID015,left,away,22,22,141972,True
3,AT004,1,1,left,ID017,left,towards,-7,7,6648,True
3,AT004,2,1,left,ID017,right,away,-11,11,8718,True
3,AT004,3,2,right,ID015,right,towards,13,13,9405,True
3,AT004,4,2,right,ID017,left,away,13,13,4455,True
3,AT004,5,3,left,ID015,right,away,-24,24,8100,True
3,AT004,6,3,right,ID015,right,towards,25,25,3824,True
3,AT004,7,2,left,ID015,left,towards,-15,15,2948,True
3,AT004,8,2,left,ID015,right,away,-15,15,4950,True
3,AT004,9,1,right,ID015,right,towards,26,26,5569,True
3,AT004,10,3,right,ID017,left,away,43,43,5838,False
3,AT004,11,1,right,ID015,left,away,23,23,3329,True
3,AT004,12,3,left,ID015,left,towards,-24,24,5163,True
3,AT004,13,0,left,ID017,left,towards,-12,12,3926,True
3,AT004,14,3,right,ID017,right,towards,34,34,3487,True
3,AT004,15,2,right,ID015,left,away,14,14,3375,True
3,AT004,16,1,right,ID017,left,away,20,20,4478,True
3,AT004,17,1,left,ID015,right,away,-19,19,3858,True
3,AT004,18,0,left,ID015,left,towards,-10,10,2171,True
3,AT004,19,2,left,ID017,right,away,-17,17,2486,True
3,AT004,20,0,left,ID017,right,away,-9,9,2486,True
3,AT004,21,0,right,ID017,right,towards,12,12,2059,True
3,AT004,22,0,right,ID015,right,towards,13,13,2587,True
3,AT004,23,0,left,ID015,right,away,-17,17,2193,True
3,AT004,24,2,left,ID017,left,towards,-24,24,3308,True
3,AT004,25,3,left,ID017,right,away,-38,38,3476,True
3,AT004,26,0,right,ID015,left,away,15,15,2317,True
3,AT004,27,2,right,ID017,right,towards,27,27,2890,True
3,AT004,28,0,right,ID017,left,away,15,15,2159,True
3,AT004,29,3,left,ID017,left,towards,-29,29,4207,True
3,AT004,30,1,left,ID015,left,towards,-18,18,3341,True
3,AT004,31,1,right,ID017,right,towards,22,22,2429,True
4,AT004,0,2,left,ID017,right,away,-10,10,125441,True
4,AT004,1,2,left,ID015,right,away,-10,10,6162,True
4,AT004,2,3,left,ID017,left,towards,26,-26,6573,True
4,AT004,3,0,left,ID017,right,away,-4,4,9200,True
4,AT004,4,3,right,ID015,right,towards,32,32,5875,True
4,AT004,5,1,right,ID015,right,towards,13,13,5548,True
4,AT004,6,3,left,ID015,left,towards,-33,33,8243,True
4,AT004,7,0,right,ID017,right,towards,7,7,4393,True
4,AT004,8,2,right,ID017,left,away,10,10,5080,True
4,AT004,9,1,left,ID017,right,away,-17,17,6928,True
4,AT004,10,1,right,ID017,right,towards,16,16,4266,True
4,AT004,11,0,left,ID015,left,towards,-6,6,4640,True
4,AT004,12,3,right,ID017,left,away,28,28,6726,True
4,AT004,13,2,right,ID017,right,towards,11,11,6123,True
4,AT004,14,1,left,ID017,left,towards,-15,15,5190,True
4,AT004,15,2,right,ID015,left,away,9,9,6217,True
4,AT004,16,3,right,ID017,right,towards,25,25,7407,True
4,AT004,17,2,left,ID017,left,towards,-9,9,5639,True
4,AT004,18,0,left,ID017,left,towards,-7,7,5591,True
4,AT004,19,1,left,ID015,left,towards,-18,18,6329,True
4,AT004,20,0,right,ID015,left,away,8,8,6243,True
4,AT004,21,1,left,ID015,right,away,-13,13,7405,True
4,AT004,22,1,right,ID015,left,away,14,14,6845,True
4,AT004,23,2,left,ID015,left,towards,-8,8,4530,True
4,AT004,24,1,right,ID017,left,away,18,18,6038,True
4,AT004,25,3,left,ID017,right,away,-29,29,8982,True
4,AT004,26,0,right,ID017,left,away,8,8,5133,True
4,AT004,27,0,right,ID015,right,towards,9,9,7316,True
4,AT004,28,0,left,ID015,right,away,-7,7,4307,True
4,AT004,29,2,right,ID015,right,towards,10,10,4544,True
4,AT004,30,3,right,ID015,left,away,30,30,7174,True
4,AT004,31,3,left,ID015,right,away,-23,23,7873,True
5,AT004,0,1,right,ID015,right,towards,6,6,122704,True
5,AT004,1,3,right,ID015,right,towards,5,5,8912,True
5,AT004,2,0,right,ID015,right,towards,10,10,5304,True
5,AT004,3,0,left,ID017,left,towards,-9,9,6352,True
