label,experiment,version,subgroup,participants_total,participants_with_rt_pair,trials,correct_trials,congruent_rt_ms,incongruent_rt_ms,delta_rt_ms,delta_rt_sem,delta_rt_p,congruent_acc_pct,incongruent_acc_pct,delta_acc_pct,delta_acc_sem,delta_acc_p
Bars v1.0,rdk-bars,1.0,bars,37,37,1088,1028,1121.9237438237437,986.6189535689537,135.30479025479028,21.592790875327896,3.0680789088083327e-07,92.13246213246212,96.7052767052767,-4.572814572814574,2.0164070087634554,0.029440967680576996
"Face v1.10: blindfold, towards",rdk-face-1,1.10,blindfold / towards,101,101,3502,3378,822.8779058462162,816.5674060673351,6.310499778881473,7.107455640902842,0.3767410146791876,95.7882573046348,97.11390503354762,-1.32564772891283,0.6598652346562174,0.04723594403532699
"Face v1.10: sighted, towards",rdk-face-1,1.10,sighted / towards,101,101,3506,3387,820.2631559371554,821.13890578345,-0.8757498462944192,8.204926444755111,0.91521333731905,96.09430433819801,97.10438220530793,-1.010077867109916,0.7032055778579519,0.15401236227330578
"Face v1.10: unknown, towards",rdk-face-1,1.10,unknown / towards,103,103,7161,6815,848.9542203494348,843.752969662433,5.201250687002026,5.959084943383515,0.38480745199655053,94.9234385529981,95.49758747191139,-0.5741489189132822,0.4888614579643614,0.2429449489377953
"Face v1.3: blindfold, towards",rdk-face-1,1.3,blindfold / towards,95,95,2141,2033,1065.3789249639249,1050.5170080504292,14.861916913495877,10.510460441642728,0.16066189889477434,94.61244019138756,95.2535885167464,-0.6411483253588515,1.010164372350751,0.5271678323676845
"Face v1.3: sighted, towards",rdk-face-1,1.3,sighted / towards,95,95,2144,2026,1057.8922510822513,1059.482485380117,-1.5902342978658728,10.164217058604414,0.8760105593226079,93.74694311536416,95.39659755449226,-1.6496544391281236,1.161596885618419,0.1588691299309138
"Face v1.4: blindfold, towards",rdk-face-1,1.4,blindfold / towards,99,99,2263,2179,746.0136593204775,748.9894070575888,-2.9757477371113725,3.370988859429443,0.3795304383262816,96.98347107438016,95.54790327517598,1.4355677992041622,0.6640531474267034,0.03306644379077969
"Face v1.4: sighted, towards",rdk-face-1,1.4,sighted / towards,99,99,2282,2196,748.4332415059687,751.0279231711049,-2.594681665136211,3.485421298481535,0.4583926552177184,96.49984695439238,95.99632690541782,0.5035200489745947,0.7784789695994444,0.5192735599280557
"Face v1.5: sighted, towards",rdk-face-1,1.5,sighted / towards,48,48,5663,5335,1024.8643827219714,1002.2026281976747,22.66175452429684,7.800827734695598,0.005581668593249548,93.87813598561713,94.48440743457763,-0.6062714489605003,0.697416369435281,0.3890951242863998
"Face v1.6: blindfold, towards",rdk-face-1,1.6,blindfold / towards,100,100,5930,5600,963.9085177785954,949.4911773192104,14.417340459385143,7.632231905983771,0.06181759873962147,94.55259778535641,94.25540959678891,0.2971881885674982,0.5880222549772527,0.6143992063378838
"Face v1.6: sighted, towards",rdk-face-1,1.6,sighted / towards,100,100,5913,5589,964.8316298583918,948.8567680125747,15.974861845817017,6.320685871561041,0.013073926380900392,94.15939188525395,94.8174603174603,-0.6580684322063628,0.6397883336082782,0.3061872693083825
"Face v1.7: blindfold, towards",rdk-face-1,1.7,blindfold / towards,87,87,5160,4796,975.0210139312751,963.3326227276241,11.688391203650896,8.054659736204847,0.150380541564401,91.90028457765281,93.96955417565803,-2.0692695980052296,0.5966755476411102,0.000821289578544373
"Face v1.7: sighted, towards",rdk-face-1,1.7,sighted / towards,87,87,5149,4789,967.4758874824578,959.1306979117489,8.345189570708788,7.964033717664972,0.2976392950315307,92.97871063626117,93.05062210730067,-0.07191147103949364,0.8344329884681616,0.9315236244730912
"Face v1.8.6: sighted, away",rdk-face-1,1.8.6,sighted / away,99,99,5889,5583,887.8420330043228,918.9422078271579,-31.10017482283503,6.766973325146412,1.2854307598464694e-05,96.0345472606009,93.57806306082169,2.4564841997792195,0.6788903875716654,0.0004710142473970015
"Face v1.8.6: sighted, towards",rdk-face-1,1.8.6,sighted / towards,99,99,5897,5601,907.0208346081868,897.2362207844783,9.78461382370837,6.269119698239634,0.12180317043810289,94.26523029971307,95.69811414639001,-1.4328838466769505,0.6773847719670844,0.03693861756032509
"Face v1.9.2: sighted, away",rdk-face-1,1.9.2,sighted / away,94,94,5599,5340,857.6615437651113,897.4662646276214,-39.8047208625101,6.617332457570819,3.5095190839677576e-08,97.02049051462109,93.70453830835342,3.315952206267686,0.6545723446219278,2.0542128861730833e-06
"Face v1.9.2: sighted, towards",rdk-face-1,1.9.2,sighted / towards,94,94,5595,5342,881.4089500638039,866.9147459707067,14.494204093096974,7.593101340855939,0.05936302283891495,94.98349229640499,95.94404849247111,-0.9605561960661011,0.657087132462011,0.14715598406422273
